"","iri2","iri1","o1","o2","Var1","Var2","jw","dl","lv","eq","jacc_all","jacc_c","sup_int_size_all","sup_int_size_c","ic_c","ic_all","sbcl12","sbcl21","thing1","thing2","def1","def2","bothsat","sbcl","lendiff"
"1","http://purl.bioontology.org/ontology/REPO.owl#FemaleSexualBehavior","http://opendata.inra.fr/ATOL/ATOL_0000979","atol","repo","female sexual behavior","female sexual behavior",0,0,0,TRUE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,FALSE,0
"2","http://purl.bioontology.org/ontology/REPO.owl#FemaleSexualBehavior","http://opendata.inra.fr/ATOL/ATOL_0001785","atol","repo","male sexual behavior","female sexual behavior",0.146969696969697,2,2,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,FALSE,2
"3","http://purl.bioontology.org/ontology/REPO.owl#FlehmenBehavior","http://opendata.inra.fr/ATOL/ATOL_0001715","atol","repo","flehmen behavior","flehmen behavior",0,0,0,TRUE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,FALSE,0
"4","http://purl.bioontology.org/ontology/REPO.owl#MatingBehavior","http://opendata.inra.fr/ATOL/ATOL_0000354","atol","repo","mating behavior","mating behavior",0,0,0,TRUE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,FALSE,0
"5","http://purl.bioontology.org/ontology/REPO.owl#MatingBehavior","http://opendata.inra.fr/ATOL/ATOL_0000354","atol","repo","mating behavior","mating behavior",0,0,0,TRUE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,FALSE,0
"6","http://purl.bioontology.org/ontology/REPO.owl#MatingBehavior","http://opendata.inra.fr/ATOL/ATOL_0000877","atol","repo","laying behavior","mating behavior",0.0888888888888889,2,2,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,FALSE,0
"7","http://purl.bioontology.org/ontology/REPO.owl#MountingBehavior","http://opendata.inra.fr/ATOL/ATOL_0001716","atol","repo","mounting behavior","mounting behavior",0,0,0,TRUE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,FALSE,0
"8","http://purl.bioontology.org/ontology/REPO.owl#ReproductiveBehavior","http://opendata.inra.fr/ATOL/ATOL_0000894","atol","repo","reproductive behavior","reproductive behavior",0,0,0,TRUE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,FALSE,0
"9","http://purl.bioontology.org/ontology/REPO.owl#ReproductiveBehavior","http://opendata.inra.fr/ATOL/ATOL_0000894","atol","repo","reproductive behavior","reproductive behavior",0,0,0,TRUE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,FALSE,0
"10","http://purl.obolibrary.org/obo/GO_0007610","http://purl.obolibrary.org/obo/FBcv_0000387","fbcv","go","behavioral","behavior",0.0666666666666668,2,2,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,"'quality'  
 and ('inheres_in' some 'behavior')  
 and ('qualifier' some 'abnormal')",NA,TRUE,FALSE,2
